Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
1,4,4,0,1
1,4,4,1,0
1,4,4,2,0
1,4,4,3,0
1,4,4,4,0
1,4,8,0,0
1,4,8,1,0
1,4,8,2,0
1,4,8,3,0
1,4,8,4,0
1,4,16,0,0
1,4,16,1,0
1,4,16,2,0
1,4,16,3,1
1,4,16,4,0
1,4,32,0,0
1,4,32,1,0
1,4,32,2,0
1,4,32,3,1
1,4,32,4,0
1,4,64,0,0
1,4,64,1,0
1,4,64,2,1
1,4,64,3,0
1,4,64,4,0
1,4,128,0,0
1,4,128,1,0
1,4,128,2,0
1,4,128,3,0
1,4,128,4,0
1,4,256,0,0
1,4,256,1,0
1,4,256,2,0
1,4,256,3,0
1,4,256,4,0
1,4,512,0,0
1,4,512,1,0
1,4,512,2,0
1,4,512,3,0
1,4,512,4,0
1,8,4,0,3
1,8,4,1,1
1,8,4,2,1
1,8,4,3,0
1,8,4,4,2
1,8,8,0,0
1,8,8,1,1
1,8,8,2,0
1,8,8,3,2
1,8,8,4,1
1,8,16,0,2
1,8,16,1,2
1,8,16,2,1
1,8,16,3,3
1,8,16,4,3
1,8,32,0,2
1,8,32,1,2
1,8,32,2,1
1,8,32,3,1
1,8,32,4,3
1,8,64,0,2
1,8,64,1,4
1,8,64,2,2
1,8,64,3,0
1,8,64,4,1
1,8,128,0,2
1,8,128,1,0
1,8,128,2,2
1,8,128,3,0
1,8,128,4,0
1,8,256,0,0
1,8,256,1,0
1,8,256,2,1
1,8,256,3,1
1,8,256,4,1
1,8,512,0,0
1,8,512,1,5
1,8,512,2,0
1,8,512,3,0
1,8,512,4,1
1,16,4,0,6
1,16,4,1,4
1,16,4,2,2
1,16,4,3,4
1,16,4,4,4
1,16,8,0,5
1,16,8,1,3
1,16,8,2,4
1,16,8,3,3
1,16,8,4,6
1,16,16,0,7
1,16,16,1,10
1,16,16,2,3
1,16,16,3,6
1,16,16,4,5
1,16,32,0,4
1,16,32,1,9
1,16,32,2,4
1,16,32,3,4
1,16,32,4,3
1,16,64,0,5
1,16,64,1,3
1,16,64,2,2
1,16,64,3,3
1,16,64,4,2
1,16,128,0,4
1,16,128,1,5
1,16,128,2,4
1,16,128,3,1
1,16,128,4,3
1,16,256,0,2
1,16,256,1,3
1,16,256,2,4
1,16,256,3,1
1,16,256,4,1
1,16,512,0,3
1,16,512,1,5
1,16,512,2,3
1,16,512,3,0
1,16,512,4,4
1,32,4,0,10
1,32,4,1,10
1,32,4,2,10
1,32,4,3,9
1,32,4,4,6
1,32,8,0,9
1,32,8,1,10
1,32,8,2,10
1,32,8,3,9
1,32,8,4,7
1,32,16,0,6
1,32,16,1,9
1,32,16,2,12
1,32,16,3,9
1,32,16,4,8
1,32,32,0,12
1,32,32,1,11
1,32,32,2,8
1,32,32,3,4
1,32,32,4,12
1,32,64,0,6
1,32,64,1,15
1,32,64,2,4
1,32,64,3,4
1,32,64,4,11
1,32,128,0,9
1,32,128,1,13
1,32,128,2,7
1,32,128,3,5
1,32,128,4,8
1,32,256,0,6
1,32,256,1,15
1,32,256,2,4
1,32,256,3,4
1,32,256,4,3
1,32,512,0,8
1,32,512,1,17
1,32,512,2,5
1,32,512,3,3
1,32,512,4,11
1,64,4,0,19
1,64,4,1,26
1,64,4,2,13
1,64,4,3,10
1,64,4,4,17
1,64,8,0,20
1,64,8,1,26
1,64,8,2,22
1,64,8,3,18
1,64,8,4,18
1,64,16,0,21
1,64,16,1,16
1,64,16,2,20
1,64,16,3,18
1,64,16,4,21
1,64,32,0,21
1,64,32,1,23
1,64,32,2,23
1,64,32,3,10
1,64,32,4,16
1,64,64,0,15
1,64,64,1,36
1,64,64,2,13
1,64,64,3,13
1,64,64,4,14
1,64,128,0,18
1,64,128,1,30
1,64,128,2,19
1,64,128,3,12
1,64,128,4,11
1,64,256,0,18
1,64,256,1,24
1,64,256,2,14
1,64,256,3,7
1,64,256,4,11
1,64,512,0,12
1,64,512,1,37
1,64,512,2,12
1,64,512,3,11
1,64,512,4,11
1,128,4,0,30
1,128,4,1,58
1,128,4,2,32
1,128,4,3,39
1,128,4,4,29
1,128,8,0,44
1,128,8,1,59
1,128,8,2,39
1,128,8,3,35
1,128,8,4,35
1,128,16,0,40
1,128,16,1,63
1,128,16,2,38
1,128,16,3,29
1,128,16,4,39
1,128,32,0,47
1,128,32,1,52
1,128,32,2,37
1,128,32,3,30
1,128,32,4,36
1,128,64,0,27
1,128,64,1,63
1,128,64,2,29
1,128,64,3,29
1,128,64,4,42
1,128,128,0,37
1,128,128,1,73
1,128,128,2,35
1,128,128,3,23
1,128,128,4,28
