Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
1,4,4,0,1
1,4,4,1,0
1,4,4,2,2
1,4,4,3,3
1,4,4,4,0
1,4,8,0,1
1,4,8,1,0
1,4,8,2,1
1,4,8,3,0
1,4,8,4,0
1,4,16,0,0
1,4,16,1,0
1,4,16,2,0
1,4,16,3,1
1,4,16,4,0
1,4,32,0,0
1,4,32,1,0
1,4,32,2,1
1,4,32,3,0
1,4,32,4,0
1,4,64,0,0
1,4,64,1,0
1,4,64,2,0
1,4,64,3,0
1,4,64,4,0
1,4,128,0,0
1,4,128,1,0
1,4,128,2,0
1,4,128,3,0
1,4,128,4,0
1,4,256,0,0
1,4,256,1,0
1,4,256,2,0
1,4,256,3,0
1,4,256,4,0
1,4,512,0,0
1,4,512,1,0
1,4,512,2,0
1,4,512,3,0
1,4,512,4,0
1,8,4,0,0
1,8,4,1,1
1,8,4,2,0
1,8,4,3,2
1,8,4,4,0
1,8,8,0,1
1,8,8,1,2
1,8,8,2,1
1,8,8,3,1
1,8,8,4,1
1,8,16,0,1
1,8,16,1,0
1,8,16,2,1
1,8,16,3,1
1,8,16,4,1
1,8,32,0,2
1,8,32,1,3
1,8,32,2,1
1,8,32,3,2
1,8,32,4,3
1,8,64,0,2
1,8,64,1,0
1,8,64,2,2
1,8,64,3,1
1,8,64,4,1
1,8,128,0,1
1,8,128,1,0
1,8,128,2,2
1,8,128,3,0
1,8,128,4,1
1,8,256,0,2
1,8,256,1,0
1,8,256,2,2
1,8,256,3,1
1,8,256,4,0
1,8,512,0,1
1,8,512,1,3
1,8,512,2,0
1,8,512,3,1
1,8,512,4,0
1,16,4,0,4
1,16,4,1,1
1,16,4,2,1
1,16,4,3,2
1,16,4,4,5
1,16,8,0,3
1,16,8,1,2
1,16,8,2,6
1,16,8,3,2
1,16,8,4,2
1,16,16,0,2
1,16,16,1,8
1,16,16,2,3
1,16,16,3,2
1,16,16,4,3
1,16,32,0,4
1,16,32,1,3
1,16,32,2,5
1,16,32,3,3
1,16,32,4,4
1,16,64,0,3
1,16,64,1,5
1,16,64,2,5
1,16,64,3,2
1,16,64,4,3
1,16,128,0,5
1,16,128,1,9
1,16,128,2,2
1,16,128,3,2
1,16,128,4,2
1,16,256,0,0
1,16,256,1,6
1,16,256,2,1
1,16,256,3,0
1,16,256,4,1
1,16,512,0,1
1,16,512,1,5
1,16,512,2,2
1,16,512,3,1
1,16,512,4,3
1,32,4,0,8
1,32,4,1,10
1,32,4,2,6
1,32,4,3,7
1,32,4,4,5
1,32,8,0,10
1,32,8,1,12
1,32,8,2,8
1,32,8,3,7
1,32,8,4,13
1,32,16,0,10
1,32,16,1,11
1,32,16,2,9
1,32,16,3,8
1,32,16,4,6
1,32,32,0,7
1,32,32,1,16
1,32,32,2,11
1,32,32,3,4
1,32,32,4,5
1,32,64,0,9
1,32,64,1,13
1,32,64,2,12
1,32,64,3,6
1,32,64,4,5
1,32,128,0,10
1,32,128,1,8
1,32,128,2,7
1,32,128,3,4
1,32,128,4,9
1,32,256,0,6
1,32,256,1,19
1,32,256,2,6
1,32,256,3,6
1,32,256,4,6
1,32,512,0,8
1,32,512,1,18
1,32,512,2,7
1,32,512,3,7
1,32,512,4,4
1,64,4,0,22
1,64,4,1,20
1,64,4,2,16
1,64,4,3,16
1,64,4,4,13
1,64,8,0,17
1,64,8,1,28
1,64,8,2,16
1,64,8,3,13
1,64,8,4,19
1,64,16,0,16
1,64,16,1,31
1,64,16,2,22
1,64,16,3,19
1,64,16,4,22
1,64,32,0,17
1,64,32,1,29
1,64,32,2,16
1,64,32,3,15
1,64,32,4,18
1,64,64,0,16
1,64,64,1,27
1,64,64,2,17
1,64,64,3,17
1,64,64,4,18
1,64,128,0,12
1,64,128,1,25
1,64,128,2,15
1,64,128,3,9
1,64,128,4,24
1,64,256,0,13
1,64,256,1,19
1,64,256,2,13
1,64,256,3,12
1,64,256,4,16
1,64,512,0,18
1,64,512,1,27
1,64,512,2,14
1,64,512,3,8
1,64,512,4,11
1,128,4,0,37
1,128,4,1,61
1,128,4,2,32
1,128,4,3,36
1,128,4,4,39
1,128,8,0,42
1,128,8,1,56
1,128,8,2,42
1,128,8,3,43
1,128,8,4,43
1,128,16,0,40
1,128,16,1,70
1,128,16,2,41
1,128,16,3,33
1,128,16,4,39
1,128,32,0,38
1,128,32,1,59
1,128,32,2,34
1,128,32,3,34
1,128,32,4,47
1,128,64,0,34
1,128,64,1,60
1,128,64,2,32
1,128,64,3,25
1,128,64,4,37
1,128,128,0,29
1,128,128,1,63
1,128,128,2,27
1,128,128,3,20
1,128,128,4,37
